"","Year","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","Team","Popularity"
"134",2006,"AL East",162,86,76,0,53.1,0.497,"3rd of 5",11,"",820,825,2930588,30.5,31.1,53,28,"D.Ortiz (5.8)","T.Francona (86-76)","Boston Red Sox","Popular"
"135",2005,"AL East",162,95,67,0,58.6,0.556,"2nd of 5",0,"Lost LDS (3-0)",910,805,2847888,31.3,33.6,52,26,"D.Ortiz (5.2)","T.Francona (95-67)","Boston Red Sox","Popular"
"136",2004,"AL East",162,98,64,0,60.5,0.596,"2nd of 5",3,"Won WS (4-0)",949,768,2837294,30.4,32.5,50,26,"C.Schilling (7.8)","T.Francona (98-64)","Boston Red Sox","Popular"
"137",2003,"AL East",162,95,67,0,58.6,0.578,"2nd of 5",6,"Lost ALCS (4-3)",961,809,2724165,29.7,31.2,47,26,"P.Martinez (8.0)","G.Little (95-67)","Boston Red Sox","Popular"
"138",2002,"AL East",162,93,69,0,57.4,0.615,"2nd of 5",10,"",859,665,2650862,29.9,31.1,39,18,"D.Lowe (7.3)","G.Little (93-69)","Boston Red Sox","Popular"
"139",2001,"AL East",161,82,79,0,50.9,0.516,"2nd of 5",13,"",772,745,2625333,30,30.9,48,23,"M.Ramirez (5.2)","J.Williams (65-53) and J.Kerrigan (17-26)","Boston Red Sox","Popular"
"140",2000,"AL East",162,85,77,0,52.5,0.528,"2nd of 5",2,"",792,745,2585895,29.3,30.2,52,24,"P.Martinez (11.7)","J.Williams (85-77)","Boston Red Sox","Popular"
"141",1999,"AL East",162,94,68,0,58,0.569,"2nd of 5",4,"Lost ALCS (4-1)",836,718,2446162,28.9,30.1,48,25,"P.Martinez (9.8)","J.Williams (94-68)","Boston Red Sox","Popular"
"142",1998,"AL East",162,92,70,0,56.8,0.583,"2nd of 5",22,"Lost LDS (3-1)",876,729,2314704,28.8,29.5,47,23,"N.Garciaparra (7.1)","J.Williams (92-70)","Boston Red Sox","Popular"
"143",1997,"AL East",162,78,84,0,48.1,0.497,"4th of 5",20,"",851,857,2226136,28,27.8,46,25,"N.Garciaparra (6.6)","J.Williams (78-84)","Boston Red Sox","Popular"
"144",1996,"AL East",162,85,77,0,52.5,0.503,"3rd of 5",7,"",928,921,2315231,28.4,28.7,55,23,"R.Clemens (7.8)","K.Kennedy (85-77)","Boston Red Sox","Popular"
"145",1995,"AL East",144,86,58,0,59.7,0.557,"1st of 5",0,"Lost LDS (3-0)",791,698,2164410,28.6,29.1,53,26,"J.Valentin (8.3)","K.Kennedy (86-58)","Boston Red Sox","Popular"
"146",1994,"AL East",115,54,61,0,47,0.446,"4th of 5",17,"",552,621,1775818,29.8,30.2,45,23,"R.Clemens (6.0)","B.Hobson (54-61)","Boston Red Sox","Unpopular"
"147",1993,"AL East",162,80,82,0,49.4,0.492,"5th of 7",15,"",686,698,2422021,29.6,30.6,39,16,"D.Darwin (5.7)","B.Hobson (80-82)","Boston Red Sox","Popular"
"148",1992,"AL East",162,73,89,0,45.1,0.45,"7th of 7",23,"",599,669,2468574,28.7,31.5,38,16,"R.Clemens (8.7)","B.Hobson (73-89)","Boston Red Sox","Popular"
"149",1991,"AL East",162,84,78,0,51.9,0.512,"2nd of 7",7,"",731,712,2562435,28.9,30.8,39,19,"R.Clemens (7.9)","J.Morgan (84-78)","Boston Red Sox","Popular"
"150",1990,"AL East",162,88,74,0,54.3,0.523,"1st of 7",0,"Lost ALCS (4-0)",699,664,2528986,28.9,30.6,43,20,"R.Clemens (10.4)","J.Morgan (88-74)","Boston Red Sox","Popular"
"151",1989,"AL East",162,83,79,0,51.2,0.524,"3rd of 7",6,"",774,735,2510012,29.4,29.5,35,15,"W.Boggs (8.4)","J.Morgan (83-79)","Boston Red Sox","Popular"
"152",1988,"AL East",162,89,73,0,54.9,0.575,"1st of 7",0,"Lost ALCS (4-0)",813,689,2464851,28.7,28.7,37,17,"W.Boggs (8.3)","J.McNamara (43-42) and J.Morgan (46-31)","Boston Red Sox","Popular"
"153",1987,"AL East",162,78,84,0,48.1,0.509,"5th of 7",20,"",842,825,2231551,28.8,27.1,35,13,"R.Clemens (9.4)","J.McNamara (78-84)","Boston Red Sox","Popular"
"154",1986,"AL East",161,95,66,0,59,0.56,"1st of 7",0,"Lost WS (4-3)",794,696,2147641,30.6,28,38,16,"R.Clemens (8.8)","J.McNamara (95-66)","Boston Red Sox","Popular"
"155",1985,"AL East",163,81,81,1,50,0.548,"5th of 7",18,"",800,720,1786633,29.5,26.8,36,17,"W.Boggs (9.1)","J.McNamara (81-81)","Boston Red Sox","Unpopular"
"156",1984,"AL East",162,86,76,0,53.1,0.527,"4th of 7",18,"",810,764,1661618,29.2,25.8,33,14,"W.Boggs (6.3)","R.Houk (86-76)","Boston Red Sox","Unpopular"
"157",1983,"AL East",162,78,84,0,48.1,0.469,"6th of 7",20,"",724,775,1782285,29.2,26.8,31,12,"W.Boggs (7.8)","R.Houk (78-84)","Boston Red Sox","Unpopular"
"158",1982,"AL East",162,89,73,0,54.9,0.525,"3rd of 7",6,"",753,713,1950124,28.9,28.2,33,14,"D.Evans (6.4)","R.Houk (89-73)","Boston Red Sox","Unpopular"
"159",1981,"AL East",108,59,49,0,54.6,0.535,"5th of 7",2,"",519,481,1060379,29.2,27.9,32,13,"D.Evans (6.7)","R.Houk (59-49)","Boston Red Sox","Unpopular"
"160",1980,"AL East",160,83,77,0,51.9,0.494,"5th of 7",19,"",757,767,1956092,29.5,29.5,41,17,"F.Lynn (4.7)","D.Zimmer (82-73) and J.Pesky (1-4)","Boston Red Sox","Unpopular"
"161",1979,"AL East",160,91,69,0,56.9,0.576,"3rd of 7",11,"",841,711,2353114,29,28.4,34,14,"F.Lynn (8.9)","D.Zimmer (91-69)","Boston Red Sox","Popular"
"162",1978,"AL East",163,99,64,0,60.7,0.587,"2nd of 7",1,"",796,657,2320643,28.5,29.2,31,14,"J.Rice (7.6)","D.Zimmer (99-64)","Boston Red Sox","Popular"
"163",1977,"AL East",161,97,64,0,60.2,0.585,"2nd of 7",2,"",859,712,2074549,28.7,29.4,38,15,"C.Fisk (7.0)","D.Zimmer (97-64)","Boston Red Sox","Popular"
"164",1976,"AL East",162,83,79,0,51.2,0.537,"3rd of 6",15,"",716,660,1895846,27.6,29.5,32,11,"L.Tiant (6.2)","D.Johnson (41-45) and D.Zimmer (42-34)","Boston Red Sox","Unpopular"
"165",1975,"AL East",160,95,65,0,59.4,0.553,"1st of 6",0,"Lost WS (4-3)",796,709,1748587,26.9,28.8,37,12,"F.Lynn (7.4)","D.Johnson (95-65)","Boston Red Sox","Unpopular"
"166",1974,"AL East",162,84,78,0,51.9,0.524,"3rd of 6",7,"",696,661,1556411,27.6,29.2,37,13,"L.Tiant (7.7)","D.Johnson (84-78)","Boston Red Sox","Unpopular"
"167",1973,"AL East",162,89,73,0,54.9,0.56,"2nd of 6",8,"",738,647,1481002,29.5,28.3,32,15,"B.Lee (6.1)","E.Kasko (88-73) and E.Popowski (1-0)","Boston Red Sox","Unpopular"
"168",1972,"AL East",155,85,70,0,54.8,0.515,"2nd of 6",0,"",640,620,1441718,28.9,28.9,38,17,"C.Fisk (7.3)","E.Kasko (85-70)","Boston Red Sox","Unpopular"
"169",1971,"AL East",162,85,77,0,52.5,0.516,"3rd of 6",18,"",691,667,1678732,27.9,29.1,36,15,"S.Siebert (6.6)","E.Kasko (85-77)","Boston Red Sox","Unpopular"
"170",1970,"AL East",162,87,75,0,53.7,0.539,"3rd of 6",21,"",786,722,1595278,26.5,27.9,40,20,"C.Yastrzemski (9.5)","E.Kasko (87-75)","Boston Red Sox","Unpopular"
"171",1969,"AL East",162,87,75,0,53.7,0.504,"3rd of 6",22,"",743,736,1833246,26.1,26.5,40,19,"R.Petrocelli (10.0)","D.Williams (82-71) and E.Popowski (5-4)","Boston Red Sox","Unpopular"
"172",2018,"NL Central",163,95,68,0,58.3,0.575,"2nd of 5",1,"Lost NLWC (1-0)",761,645,3181089,27.2,30.2,50,35,"J.Baez (6.3)","J.Maddon (95-68)","Chicago Cubs","Very popular"
"173",2017,"NL Central",162,92,70,0,56.8,0.576,"1st of 5",0,"Lost NLCS (4-1)",822,695,3199562,27.1,30.8,47,28,"K.Bryant (6.1)","J.Maddon (92-70)","Chicago Cubs","Very popular"
"174",2016,"NL Central",162,103,58,1,64,0.665,"1st of 5",0,"Won WS (4-3)",808,556,3232420,27.4,29.9,45,26,"K.Bryant (7.4)","J.Maddon (103-58)","Chicago Cubs","Very popular"
"175",2015,"NL Central",162,97,65,0,59.9,0.557,"3rd of 5",3,"Lost NLCS (4-0)",689,608,2919122,26.9,29.3,50,29,"J.Arrieta (8.6)","J.Maddon (97-65)","Chicago Cubs","Popular"
"176",2014,"NL Central",162,73,89,0,45.1,0.436,"5th of 5",17,"",614,707,2652113,26.8,28,48,27,"J.Arrieta (5.7)","R.Renteria (73-89)","Chicago Cubs","Popular"
"177",2013,"NL Central",162,66,96,0,40.7,0.439,"5th of 5",31,"",602,689,2642682,27.9,28.7,56,31,"T.Wood (5.0)","D.Sveum (66-96)","Chicago Cubs","Popular"
"178",2012,"NL Central",162,61,101,0,37.7,0.403,"5th of 6",36,"",613,759,2882756,27.8,27.9,53,30,"D.Barney (4.6)","D.Sveum (61-101)","Chicago Cubs","Popular"
"179",2011,"NL Central",162,71,91,0,43.8,0.434,"5th of 6",25,"",654,756,3017966,29.3,29.4,42,22,"S.Castro (3.2)","M.Quade (71-91)","Chicago Cubs","Very popular"
"180",2010,"NL Central",162,75,87,0,46.3,0.448,"5th of 6",16,"",685,767,3062973,29.4,28.2,44,23,"M.Byrd (3.7)","L.Piniella (51-74) and M.Quade (24-13)","Chicago Cubs","Very popular"
"181",2009,"NL Central",161,83,78,0,51.6,0.523,"2nd of 6",7,"",707,672,3168859,29.9,28.4,45,24,"D.Lee (5.4)","L.Piniella (83-78)","Chicago Cubs","Very popular"
"182",2008,"NL Central",161,97,64,0,60.2,0.609,"1st of 6",0,"Lost LDS (3-0)",855,671,3300200,30.1,28.9,42,23,"R.Dempster (6.8)","L.Piniella (97-64)","Chicago Cubs","Very popular"
"183",2007,"NL Central",162,85,77,0,52.5,0.539,"1st of 6",0,"Lost LDS (3-0)",752,690,3252462,29.3,28.4,47,22,"A.Ramirez (5.3)","L.Piniella (85-77)","Chicago Cubs","Very popular"
"184",2006,"NL Central",162,66,96,0,40.7,0.431,"6th of 6",17,"",716,834,3123215,28.6,28,46,23,"C.Zambrano (5.7)","D.Baker (66-96)","Chicago Cubs","Very popular"
"185",2005,"NL Central",162,79,83,0,48.8,0.493,"4th of 6",21,"",703,714,3099992,29.7,28.2,46,22,"D.Lee (7.7)","D.Baker (79-83)","Chicago Cubs","Very popular"
"186",2004,"NL Central",162,89,73,0,54.9,0.578,"3rd of 6",16,"",789,665,3170154,30.1,29.1,43,19,"C.Zambrano (7.3)","D.Baker (89-73)","Chicago Cubs","Very popular"
"187",2003,"NL Central",162,88,74,0,54.3,0.527,"1st of 6",0,"Lost NLCS (4-3)",724,683,2962630,31.3,28.2,42,17,"M.Prior (7.9)","D.Baker (88-74)","Chicago Cubs","Popular"
"188",2002,"NL Central",162,67,95,0,41.4,0.467,"5th of 6",30,"",706,759,2693096,30.2,27.6,44,22,"S.Sosa (5.7)","D.Baylor (34-49), R.Lachemann (0-1) and B.Kimm (33-45)","Chicago Cubs","Popular"
"189",2001,"NL Central",162,88,74,0,54.3,0.547,"3rd of 6",5,"",777,701,2779465,30.7,29.8,43,20,"S.Sosa (10.3)","D.Baylor (88-74)","Chicago Cubs","Popular"
"190",2000,"NL Central",162,65,97,0,40.1,0.424,"6th of 6",30,"",764,904,2789511,30.8,28.4,51,24,"S.Sosa (5.7)","D.Baylor (65-97)","Chicago Cubs","Popular"
"191",1999,"NL Central",162,67,95,0,41.4,0.406,"6th of 6",30,"",747,920,2813854,31.2,28.8,47,25,"S.Sosa (4.8)","J.Riggleman (67-95)","Chicago Cubs","Popular"
"192",1998,"NL Central",163,90,73,0,55.2,0.522,"2nd of 6",12,"Lost LDS (3-0)",831,792,2623194,30.1,28.8,47,25,"S.Sosa (6.5)","J.Riggleman (90-73)","Chicago Cubs","Popular"
"193",1997,"NL Central",162,68,94,0,42,0.455,"5th of 5",16,"",687,759,2190308,29.4,28.2,42,21,"M.Grace (4.2)","J.Riggleman (68-94)","Chicago Cubs","Popular"
"194",1996,"NL Central",162,76,86,0,46.9,0.501,"4th of 5",12,"",772,771,2219110,29,28.3,41,17,"S.Sosa (5.4)","J.Riggleman (76-86)","Chicago Cubs","Popular"
"195",1995,"NL Central",144,73,71,0,50.7,0.515,"3rd of 5",12,"",693,671,1918265,28.3,27.8,43,21,"S.Sosa (5.3)","J.Riggleman (73-71)","Chicago Cubs","Unpopular"
"196",1994,"NL Central",113,49,64,0,43.4,0.457,"5th of 5",16,"",500,549,1845208,28.2,28.3,35,18,"S.Sosa (3.8)","T.Trebelhorn (49-64)","Chicago Cubs","Unpopular"
"197",1993,"NL East",163,84,78,1,51.9,0.499,"4th of 7",13,"",738,739,2653763,28,28.3,38,17,"R.Wilkins (6.6)","J.Lefebvre (84-78)","Chicago Cubs","Popular"
"198",1992,"NL East",162,78,84,0,48.1,0.477,"4th of 6",18,"",593,624,2126720,28.3,27.2,41,17,"G.Maddux (9.4)","J.Lefebvre (78-84)","Chicago Cubs","Popular"
"199",1991,"NL East",160,77,83,0,48.1,0.475,"4th of 6",20,"",695,734,2314250,28.9,27.5,39,19,"R.Sandberg (7.0)","D.Zimmer (18-19), J.Altobelli (0-1) and J.Essian (59-63)","Chicago Cubs","Popular"
"200",1990,"NL East",162,77,85,0,47.5,0.448,"4th of 6",18,"",690,774,2243791,28.2,26.1,39,20,"R.Sandberg (7.1)","D.Zimmer (77-85)","Chicago Cubs","Popular"
"201",1989,"NL East",162,93,69,0,57.4,0.554,"1st of 6",0,"Lost NLCS (4-1)",702,623,2491942,27.7,27.2,36,15,"R.Sandberg (6.1)","D.Zimmer (93-69)","Chicago Cubs","Popular"
"202",1988,"NL East",163,77,85,1,47.5,0.477,"4th of 6",24,"",660,694,2089034,27.6,27.1,39,18,"G.Maddux (5.6)","D.Zimmer (77-85)","Chicago Cubs","Popular"
"203",1987,"NL East",161,76,85,0,47.2,0.451,"6th of 6",18,"",720,801,2035130,28.9,27.6,36,15,"R.Sutcliffe (6.5)","G.Michael (68-68) and F.Lucchesi (8-17)","Chicago Cubs","Popular"
"204",1986,"NL East",160,70,90,0,43.8,0.437,"5th of 6",37,"",680,781,1859102,29.8,28.5,39,18,"J.Davis (4.0)","J.Frey (23-33), J.Vukovich (1-1) and G.Michael (46-56)","Chicago Cubs","Unpopular"
"205",1985,"NL East",162,77,84,1,47.8,0.472,"4th of 6",23,"",686,729,2161534,30.2,28.4,40,20,"R.Sandberg (5.8)","J.Frey (77-84)","Chicago Cubs","Popular"
"206",1984,"NL East",161,96,65,0,59.6,0.567,"1st of 6",0,"Lost NLCS (3-2)",762,658,2107655,29.5,28.7,40,18,"R.Sandberg (8.6)","J.Frey (96-65)","Chicago Cubs","Popular"
"207",1983,"NL East",162,71,91,0,43.8,0.488,"5th of 6",19,"",701,719,1479717,29.2,29.5,43,18,"L.Smith (4.7)","L.Elia (54-69) and C.Fox (17-22)","Chicago Cubs","Unpopular"
"208",1982,"NL East",162,73,89,0,45.1,0.478,"5th of 6",19,"",676,709,1249278,28.7,29.9,37,15,"L.Durham (4.7)","L.Elia (73-89)","Chicago Cubs","Unpopular"
"209",1981,"NL East",106,38,65,3,36.9,0.38,"6th of 6",21,"",370,483,565637,28.2,28.1,39,15,"M.Krukow (2.2)","J.Amalfitano (38-65)","Chicago Cubs","Very unpopular"
"210",1980,"NL East",162,64,98,0,39.5,0.423,"6th of 6",27,"",614,728,1206776,28.8,28,34,12,"R.Reuschel (5.5)","P.Gomez (38-52) and J.Amalfitano (26-46)","Chicago Cubs","Unpopular"
"211",1979,"NL East",162,80,82,0,49.4,0.499,"5th of 6",18,"",706,707,1648587,28.5,27.7,37,14,"R.Reuschel (5.8)","H.Franks (78-77) and J.Amalfitano (2-5)","Chicago Cubs","Unpopular"
"212",1978,"NL East",162,79,83,0,48.8,0.461,"3rd of 6",11,"",664,724,1525311,27.7,27.5,39,14,"R.Reuschel (5.4)","H.Franks (79-83)","Chicago Cubs","Unpopular"
"213",1977,"NL East",162,81,81,0,50,0.47,"4th of 6",20,"",692,739,1439834,27.6,26.9,35,16,"R.Reuschel (9.6)","H.Franks (81-81)","Chicago Cubs","Unpopular"
"214",1976,"NL East",162,75,87,0,46.3,0.421,"4th of 6",26,"",611,728,1026217,27.2,27.8,39,18,"R.Reuschel (5.5)","J.Marshall (75-87)","Chicago Cubs","Unpopular"
"215",1975,"NL East",162,75,87,0,46.3,0.432,"5th of 6",17,"",712,827,1034819,27,27.1,39,19,"B.Madlock (4.9)","J.Marshall (75-87)","Chicago Cubs","Unpopular"
"216",1974,"NL East",162,66,96,0,40.7,0.405,"6th of 6",22,"",669,826,1015378,27.1,25.5,38,14,"R.Reuschel (3.9)","W.Lockman (41-52) and J.Marshall (25-44)","Chicago Cubs","Unpopular"
"217",1973,"NL East",161,77,84,0,47.8,0.47,"5th of 6",5,"",614,655,1351705,30.3,27.6,36,12,"R.Reuschel (5.4)","W.Lockman (77-84)","Chicago Cubs","Unpopular"
"218",1972,"NL East",156,85,70,1,54.8,0.586,"2nd of 6",11,"",685,567,1299163,30,28.7,41,15,"B.Williams (6.2)","L.Durocher (46-44) and W.Lockman (39-26)","Chicago Cubs","Unpopular"
"219",1971,"NL East",162,83,79,0,51.2,0.492,"3rd of 6",14,"",637,648,1653007,30.2,28.7,42,15,"F.Jenkins (11.8)","L.Durocher (83-79)","Chicago Cubs","Unpopular"
"220",1970,"NL East",162,84,78,0,51.9,0.578,"2nd of 6",5,"",806,679,1642705,30,27.7,43,18,"F.Jenkins (6.9)","L.Durocher (84-78)","Chicago Cubs","Unpopular"
"221",1969,"NL East",163,92,70,1,56.8,0.575,"2nd of 6",8,"",720,611,1674993,29.1,27.6,41,17,"B.Hands (7.9)","L.Durocher (92-70)","Chicago Cubs","Unpopular"
"222",2018,"AL Central",162,62,100,0,38.3,0.385,"4th of 5",29,"",656,848,1608817,26.5,27.6,51,31,"R.Lopez (3.1)","R.Renteria (62-100)","Chicago White Sox","Unpopular"
"223",2017,"AL Central",162,67,95,0,41.4,0.432,"4th of 5",35,"",706,820,1629470,26.7,28.7,51,31,"J.Abreu (4.8)","R.Renteria (67-95)","Chicago White Sox","Unpopular"
"224",2016,"AL Central",162,78,84,0,48.1,0.481,"4th of 5",16,"",686,715,1746293,28.3,28.6,50,28,"A.Eaton (6.1)","R.Ventura (78-84)","Chicago White Sox","Unpopular"
"225",2015,"AL Central",162,76,86,0,46.9,0.446,"4th of 5",19,"",622,701,1755810,28.2,27.8,40,24,"J.Quintana (4.0)","R.Ventura (76-86)","Chicago White Sox","Unpopular"
"226",2014,"AL Central",162,73,89,0,45.1,0.437,"4th of 5",17,"",660,758,1650821,27.7,27.4,44,26,"C.Sale (6.1)","R.Ventura (73-89)","Chicago White Sox","Unpopular"
"227",2013,"AL Central",162,63,99,0,38.9,0.414,"5th of 5",30,"",598,723,1768413,29.2,27.1,47,24,"C.Sale (6.5)","R.Ventura (63-99)","Chicago White Sox","Unpopular"
"228",2012,"AL Central",162,85,77,0,52.5,0.546,"2nd of 5",3,"",748,676,1965955,30,27.5,45,25,"C.Sale (5.6)","R.Ventura (85-77)","Chicago White Sox","Unpopular"
"229",2011,"AL Central",162,79,83,0,48.8,0.465,"3rd of 5",16,"",654,706,2001117,30,28.5,42,22,"A.Ramirez (3.8)","O.Guillen (78-82) and D.Cooper (1-1)","Chicago White Sox","Popular"
"230",2010,"AL Central",162,88,74,0,54.3,0.53,"2nd of 5",6,"",752,704,2194378,30.7,29,40,20,"A.Ramirez (5.6)","O.Guillen (88-74)","Chicago White Sox","Popular"
"231",2009,"AL Central",162,79,83,0,48.8,0.495,"3rd of 5",7,"",724,732,2284163,29.8,29.5,45,24,"M.Buehrle (5.5)","O.Guillen (79-83)","Chicago White Sox","Popular"
"232",2008,"AL Central",163,89,74,0,54.6,0.549,"1st of 5",0,"Lost LDS (3-1)",811,729,2500648,30.6,28.3,39,19,"J.Danks (6.4)","O.Guillen (89-74)","Chicago White Sox","Popular"
"233",2007,"AL Central",162,72,90,0,44.4,0.413,"4th of 5",24,"",693,839,2684395,29.8,27.7,43,21,"J.Vazquez (6.1)","O.Guillen (72-90)","Chicago White Sox","Popular"
"234",2006,"AL Central",162,90,72,0,55.6,0.541,"3rd of 5",6,"",868,794,2957414,29.8,27.9,37,18,"J.Thome (4.9)","O.Guillen (90-72)","Chicago White Sox","Popular"
"235",2005,"AL Central",162,99,63,0,61.1,0.563,"1st of 5",0,"Won WS (4-0)",741,645,2342833,29.3,29.3,38,17,"M.Buehrle (4.8)","O.Guillen (99-63)","Chicago White Sox","Popular"
"236",2004,"AL Central",162,83,79,0,51.2,0.518,"2nd of 5",9,"",865,831,1930537,28.6,28.2,42,22,"A.Rowand (5.7)","O.Guillen (83-79)","Chicago White Sox","Unpopular"
"237",2003,"AL Central",162,86,76,0,53.1,0.546,"2nd of 5",4,"",791,715,1939524,29.4,27.9,40,20,"E.Loaiza (7.2)","J.Manuel (86-76)","Chicago White Sox","Unpopular"
"238",2002,"AL Central",162,81,81,0,50,0.532,"2nd of 5",13,"",856,798,1676911,28.9,25.8,35,16,"M.Ordonez (5.1)","J.Manuel (81-81)","Chicago White Sox","Unpopular"
"239",2001,"AL Central",162,83,79,0,51.2,0.502,"3rd of 5",8,"",798,795,1766172,28.5,26.2,42,21,"M.Buehrle (6.0)","J.Manuel (83-79)","Chicago White Sox","Unpopular"
"240",2000,"AL Central",162,95,67,0,58.6,0.57,"1st of 5",0,"Lost LDS (3-0)",978,839,1947799,27.6,26.5,42,22,"F.Thomas (6.0)","J.Manuel (95-67)","Chicago White Sox","Unpopular"
"241",1999,"AL Central",162,75,86,1,46.6,0.448,"2nd of 5",21,"",777,870,1338851,25.8,26.4,40,21,"M.Ordonez (5.8)","J.Manuel (75-86)","Chicago White Sox","Unpopular"
"242",1998,"AL Central",163,80,82,1,49.4,0.464,"2nd of 5",9,"",861,931,1391146,27.4,26.4,39,20,"A.Belle (7.1)","J.Manuel (80-82)","Chicago White Sox","Unpopular"
"243",1997,"AL Central",161,80,81,0,49.7,0.469,"2nd of 5",6,"",779,833,1864782,29.3,29.4,45,22,"F.Thomas (7.3)","T.Bevington (80-81)","Chicago White Sox","Unpopular"
"244",1996,"AL Central",162,85,77,0,52.5,0.556,"2nd of 5",14,"",898,794,1676403,30.6,27.8,44,22,"A.Fernandez (6.4)","T.Bevington (85-77)","Chicago White Sox","Unpopular"
"245",1995,"AL Central",145,68,76,1,47.2,0.498,"3rd of 5",32,"",755,758,1609773,29.5,27.6,46,26,"F.Thomas (5.3)","G.Lamont (11-20) and T.Bevington (57-56)","Chicago White Sox","Unpopular"
"246",1994,"AL Central",113,67,46,0,59.3,0.608,"1st of 5",0,"",633,498,1697398,29.9,28.2,34,14,"F.Thomas (6.4)","G.Lamont (67-46)","Chicago White Sox","Unpopular"
"247",1993,"AL West",162,94,68,0,58,0.571,"1st of 7",0,"Lost ALCS (4-2)",776,664,2581091,28.9,26.6,43,20,"F.Thomas (6.2)","G.Lamont (94-68)","Chicago White Sox","Popular"
"248",1992,"AL West",162,86,76,0,53.1,0.531,"3rd of 7",10,"",738,690,2681156,28.7,28.9,35,13,"F.Thomas (7.0)","G.Lamont (86-76)","Chicago White Sox","Popular"
"249",1991,"AL West",162,87,75,0,53.7,0.549,"2nd of 7",8,"",758,681,2934154,27.8,26.7,38,17,"F.Thomas (7.0)","J.Torborg (87-75)","Chicago White Sox","Popular"
"250",1990,"AL West",162,94,68,0,58,0.534,"2nd of 7",9,"",682,633,2002357,27.7,24.9,37,17,"C.Fisk (4.9)","J.Torborg (94-68)","Chicago White Sox","Popular"
"251",1989,"AL West",161,69,92,0,42.9,0.464,"7th of 7",29,"",693,750,1045651,27.7,26.4,42,19,"C.Fisk (3.3)","J.Torborg (69-92)","Chicago White Sox","Unpopular"
"252",1988,"AL West",161,71,90,0,44.1,0.417,"5th of 7",32,"",631,757,1115749,27.3,26.6,44,21,"O.Guillen (3.4)","J.Fregosi (71-90)","Chicago White Sox","Unpopular"
"253",1987,"AL West",162,77,85,0,47.5,0.501,"5th of 7",8,"",748,746,1208060,27.7,27.6,36,18,"I.Calderon (4.2)","J.Fregosi (77-85)","Chicago White Sox","Unpopular"
"254",1986,"AL West",162,72,90,0,44.4,0.463,"5th of 7",20,"",644,699,1424313,27.3,28.1,47,18,"H.Baines (2.9)","T.La Russa (26-38), D.Rader (1-1) and J.Fregosi (45-51)","Chicago White Sox","Unpopular"
"255",1985,"AL West",163,85,77,1,52.5,0.51,"3rd of 7",6,"",736,720,1669888,27.7,28.7,42,19,"T.Seaver (5.0)","T.La Russa (85-77)","Chicago White Sox","Unpopular"
"256",1984,"AL West",162,74,88,0,45.7,0.463,"5th of 7",10,"",679,736,2136988,28.7,29.7,40,18,"H.Baines (4.3)","T.La Russa (74-88)","Chicago White Sox","Popular"
"257",1983,"AL West",162,99,63,0,61.1,0.594,"1st of 7",0,"Lost ALCS (3-1)",800,650,2132821,28.2,28.7,39,15,"R.Dotson (5.1)","T.La Russa (99-63)","Chicago White Sox","Popular"
"258",1982,"AL West",162,87,75,0,53.7,0.546,"3rd of 7",6,"",786,710,1567787,28.8,27.5,39,16,"L.Hoyt (4.9)","T.La Russa (87-75)","Chicago White Sox","Unpopular"
"259",1981,"AL West",106,54,52,0,50.9,0.554,"3rd of 7",8,"",476,423,946651,28.5,25.4,34,14,"C.Lemon (4.1)","T.La Russa (54-52)","Chicago White Sox","Very unpopular"
"260",1980,"AL West",162,70,90,2,43.8,0.406,"5th of 7",26,"",587,722,1200365,26.7,24.7,39,14,"B.Burns (7.0)","T.La Russa (70-90)","Chicago White Sox","Unpopular"
"261",1979,"AL West",160,73,87,0,45.6,0.489,"5th of 7",14,"",730,748,1280702,27.1,25.5,44,22,"C.Lemon (5.8)","D.Kessinger (46-60) and T.La Russa (27-27)","Chicago White Sox","Unpopular"
"262",1978,"AL West",161,71,90,0,44.1,0.435,"5th of 7",20,"",634,731,1491100,27.2,28.5,43,15,"C.Lemon (4.9)","B.Lemon (34-40) and L.Doby (37-50)","Chicago White Sox","Unpopular"
"263",1977,"AL West",162,90,72,0,55.6,0.541,"3rd of 7",12,"",844,771,1657135,26.8,27.3,45,19,"C.Lemon (5.9)","B.Lemon (90-72)","Chicago White Sox","Unpopular"
"264",1976,"AL West",161,64,97,0,39.8,0.392,"6th of 6",25,"",586,745,914945,26.1,25.8,42,16,"K.Brett (3.9)","P.Richards (64-97)","Chicago White Sox","Very unpopular"
"265",1975,"AL West",161,75,86,0,46.6,0.468,"5th of 6",22,"",655,703,750802,26.8,30.8,41,20,"R.Gossage (8.2)","C.Tanner (75-86)","Chicago White Sox","Very unpopular"
"266",1974,"AL West",163,80,80,3,50,0.476,"4th of 6",9,"",684,721,1149596,26.7,28.2,40,17,"J.Kaat (7.0)","C.Tanner (80-80)","Chicago White Sox","Unpopular"
"267",1973,"AL West",162,77,85,0,47.5,0.464,"5th of 6",17,"",652,705,1302527,26,27.6,39,15,"W.Wood (7.5)","C.Tanner (77-85)","Chicago White Sox","Unpopular"
"268",1972,"AL West",154,87,67,0,56.5,0.523,"2nd of 6",5,"",566,538,1177318,26.6,26,40,17,"W.Wood (10.3)","C.Tanner (87-67)","Chicago White Sox","Unpopular"
